owner,methods,path
socials,GET,/v1/social/bookmarks
socials,GET|POST,/v1/social/communities
socials,GET,/v1/social/communities/{id}/feed
socials,GET|POST,/v1/social/communities/{id}/invites
socials,DELETE,/v1/social/communities/{id}/invites/{inviteId}
socials,POST,/v1/social/communities/{id}/join
socials,DELETE,/v1/social/communities/{id}/leave
socials,GET,/v1/social/communities/{id}/members
socials,GET,/v1/social/communities/mine
socials,GET|POST,/v1/social/conversations
socials,GET,/v1/social/conversations/{id}
socials,GET|POST,/v1/social/conversations/{id}/messages
socials,POST,/v1/social/conversations/{id}/read
socials,GET,/v1/social/conversations/unread-count
socials,POST,/v1/social/direct-message-starts
socials,GET,/v1/social/feed/following
socials,GET,/v1/social/feed/home
socials,GET,/v1/social/follow-requests
socials,DELETE,/v1/social/follow-requests/{id}
socials,POST,/v1/social/follow-requests/{id}/approve
socials,DELETE|POST,/v1/social/follows/{handle}
socials,GET,/v1/social/follows/{handle}/status
socials,POST,/v1/social/invites/{token}/redeem
socials,GET|POST,/v1/social/linked-agents
socials,PATCH,/v1/social/linked-agents/{id}
socials,POST,/v1/social/linked-agents/{id}/rotate-key
socials,GET|POST,/v1/social/live/sessions
socials,GET,/v1/social/live/sessions/{id}
socials,POST,/v1/social/live/sessions/{id}/end
socials,POST,/v1/social/live/sessions/{id}/go-live
socials,GET|POST,/v1/social/longform
socials,GET,/v1/social/me/blocks
socials,GET,/v1/social/me/mutes
socials,GET|PATCH,/v1/social/me/prefs
socials,GET|PATCH|POST,/v1/social/me/profile
socials,GET,/v1/social/media/{id}/content
socials,POST,/v1/social/media/{id}/finalize
socials,PUT,/v1/social/media/mock-upload/{*storage_key}
socials,POST,/v1/social/media/upload-url
socials,GET,/v1/social/message-requests
socials,DELETE,/v1/social/message-requests/{id}
socials,POST,/v1/social/message-requests/{id}/accept
socials,POST,/v1/social/message-requests/{id}/decline
socials,POST,/v1/social/message-requests/{id}/spam
socials,GET,/v1/social/notifications
socials,POST,/v1/social/notifications/read
socials,POST,/v1/social/pages
socials,DELETE|POST,/v1/social/pages/{id}/follow
socials,GET,/v1/social/pages/{slug}
socials,GET,/v1/social/pages/mine
socials,POST,/v1/social/posts
socials,DELETE|GET,/v1/social/posts/{id}
socials,DELETE|POST,/v1/social/posts/{id}/bookmark
socials,DELETE|POST,/v1/social/posts/{id}/like
socials,GET,/v1/social/posts/{id}/related
socials,DELETE|POST,/v1/social/posts/{id}/repost
socials,PATCH,/v1/social/profile
socials,GET,/v1/social/profile/me
socials,GET|POST,/v1/social/profiles
socials,GET,/v1/social/profiles/{handle}
socials,GET,/v1/social/profiles/{handle}/followers
socials,GET,/v1/social/profiles/{handle}/following
socials,GET,/v1/social/profiles/{handle}/linked-agents
socials,GET,/v1/social/profiles/{handle}/longform
socials,GET,/v1/social/profiles/{handle}/stats
socials,GET,/v1/social/profiles/featured
socials,POST,/v1/social/report
socials,GET,/v1/social/search
socials,POST,/v1/social/shelves
socials,GET,/v1/social/shelves/mine
socials,GET,/v1/social/trending
socials,GET,/v1/social/users/{handle}
socials,GET,/v1/social/users/{handle}/followers
socials,GET,/v1/social/users/{handle}/following
socials,GET,/v1/social/users/{handle}/posts
socials,DELETE|POST,/v1/social/users/{id}/block
socials,DELETE|POST,/v1/social/users/{id}/mute
socials,GET,/v1/social/ws
socials,POST,/v1/social/ws-ticket
socials,POST,/v1/social/x402/paid-ping
socials,GET,/v1/social/x402/status
socials,POST,/v1/social/x402/verify
